onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	is_downbeat	downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label	note_degree
0	2	0.0	0	1.0	1	1	4	2	2	1	0.0	B2	47	True	B	0	0	1.0	True	1	Cello	1	1	4.0	0	I	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	5
2	2	1.0	1	1.0	1	1	4	2	2	1	0.5	G#2	44	True	G	1	1/4	1.5	False	0	Cello	1	1	4.0	0	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
4	2	2.0	2	1.0	1	1	4	2	2	1	1.0	E2	40	True	E	0	1/2	2.0	True	2	Cello	1	1	4.0	0	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	1
6	2	3.0	3	1.0	1	1	4	2	2	1	1.5	G#2	44	True	G	1	3/4	2.5	False	0	Cello	1	1	4.0	0	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
16	2	8.0	8	1.0	1	3	4	2	2	3	4.0	B4	71	True	B	0	0	1.0	True	1	Cello	1	3	4.0	2	I	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	5
16	2	8.0	8	1.0	1	3	4	2	2	3	4.0	G#3	56	True	G	1	0	1.0	True	1	Cello	1	3	4.0	2	I	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
16	2	8.0	8	1.0	1	3	4	2	2	3	4.0	E3	52	True	E	0	0	1.0	True	1	Cello	1	3	4.0	2	I	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	1
16	2	8.0	8	1.0	1	3	4	2	2	3	4.0	E4	64	True	E	0	0	1.0	True	1	Cello	1	3	4.0	2	I	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	1
18	2	9.0	9	1.0	1	3	4	2	2	3	4.5	G#4	68	True	G	1	1/4	1.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
18	2	9.0	9	1.0	1	3	4	2	2	3	4.5	B3	59	True	B	0	1/4	1.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	5
18	2	9.0	9	1.0	1	3	4	2	2	3	4.5	G#3	56	True	G	1	1/4	1.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
20	2	10.0	10	1.0	1	3	4	2	2	3	5.0	E4	64	True	E	0	1/2	2.0	True	2	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	1
20	2	10.0	10	1.0	1	3	4	2	2	3	5.0	B3	59	True	B	0	1/2	2.0	True	2	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	5
20	2	10.0	10	1.0	1	3	4	2	2	3	5.0	G#3	56	True	G	1	1/2	2.0	True	2	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
22	2	11.0	11	1.0	1	3	4	2	2	3	5.5	G#4	68	True	G	1	3/4	2.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
22	2	11.0	11	1.0	1	3	4	2	2	3	5.5	G#3	56	True	G	1	3/4	2.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	3
22	2	11.0	11	1.0	1	3	4	2	2	3	5.5	E3	52	True	E	0	3/4	2.5	False	0	Cello	1	3	4.0	2	I	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	E	E	1	None	I	True	1
